Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO MILENIUM GAS CALLE 13,MOBIL,AVENIDA CALLE 17 No. 78G-11,GASOLINA CORRIENTE OXIGENADA,9428.0,A,AVENIDA CALLE 17 No. 78G-11,"AVENIDA CALLE 17 No. 78G-11, Bogota, d.c., Colombia","(4.65358, -74.13098)",4.65358,-74.13098
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO  TERPEL FONTIBON FERROCARRIL,TERPEL,AVENIDA CALLE 22 No. 97 B -71,GASOLINA EXTRA OXIGENADA,17620.0,A,AVENIDA CALLE 22 No. 97 B -71,"AVENIDA CALLE 22 No. 97 B -71, Bogota, d.c., Colombia","(4.67577, -74.14038)",4.67577,-74.14038
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO  TERPEL FONTIBON FERROCARRIL,TERPEL,AVENIDA CALLE 22 No. 97 B -71,GASOLINA CORRIENTE OXIGENADA,8830.0,A,AVENIDA CALLE 22 No. 97 B -71,"AVENIDA CALLE 22 No. 97 B -71, Bogota, d.c., Colombia","(4.67577, -74.14038)",4.67577,-74.14038
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO  TERPEL FONTIBON FERROCARRIL,TERPEL,AVENIDA CALLE 22 No. 97 B -71,BIODIESEL EXTRA,8690.0,A,AVENIDA CALLE 22 No. 97 B -71,"AVENIDA CALLE 22 No. 97 B -71, Bogota, d.c., Colombia","(4.67577, -74.14038)",4.67577,-74.14038
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",EDS LOS ABUELOS,TERPEL,CALLE 170 No. 20 A - 34,GASOLINA EXTRA OXIGENADA,17570.0,A,CALLE 170 No. 20 A - 34,"CALLE 170 No. 20 A - 34, Bogota, d.c., Colombia","(4.75082, -74.04352)",4.75082,-74.04352
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",EDS LOS ABUELOS,TERPEL,CALLE 170 No. 20 A - 34,BIODIESEL EXTRA,9090.0,A,CALLE 170 No. 20 A - 34,"CALLE 170 No. 20 A - 34, Bogota, d.c., Colombia","(4.75082, -74.04352)",4.75082,-74.04352
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",EDS LOS ABUELOS,TERPEL,CALLE 170 No. 20 A - 34,GASOLINA CORRIENTE OXIGENADA,9040.0,A,CALLE 170 No. 20 A - 34,"CALLE 170 No. 20 A - 34, Bogota, d.c., Colombia","(4.75082, -74.04352)",4.75082,-74.04352
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",EDS BIOMAX CALLE 13,BIOMAX,CARRERA 88 No. 17-09,BIODIESEL EXTRA,9290.0,A,CARRERA 88 No. 17-09,"CARRERA 88 No. 17-09, Bogota, d.c., Colombia","(4.60376, -74.07232)",4.60376,-74.07232
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",EDS BIOMAX CALLE 13,BIOMAX,CARRERA 88 No. 17-09,GASOLINA CORRIENTE OXIGENADA,9390.0,A,CARRERA 88 No. 17-09,"CARRERA 88 No. 17-09, Bogota, d.c., Colombia","(4.60376, -74.07232)",4.60376,-74.07232
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO MOGUE LTDA,OCTANO,CL 63 SUR 4C ESTE 52,BIODIESEL EXTRA,8900.0,A,CL 63 SUR 4C ESTE 52,"CL 63 SUR 4C ESTE 52, Bogota, d.c., Colombia","(4.50721, -74.10588)",4.50721,-74.10588
